Restaurant ID,Restaurant Name,Rating,Cuisines,Price for Two
1,145 Cafe And Bar,4.3,"26,  1, 28, 9, 15, 8, 6, 10","Rs1,500"
2,Punjab Grill,4.2,"26,  1, 13, 25","Rs2,000"
3,Mari̬ta,4.2,"22, 9","Rs2,000"
4,Yeti - The Himalayan Kitchen,4.3,"2, 2, 2, 2, 7, 2, 6","Rs2,100"
5,Cafe By Soul,3.9,"6, 10, 15, 15, 10, 8, 6","Rs1,200"
6,Nowhere Terrace Brewpub Cafe,4.3,"26,  2, 9, 16, 10, 15, 10","Rs2,000"
7,Downtown - Sector 29,4.8,"2, 26,  1, 10, 2, 15, 25, 15","Rs2,800"
8,Lost Lemons,4.1,"26,  9, 21","Rs1,800"
9,United Coffee House Rewind,4.3,"26,  9, 2, 12, 15, 28, 8, 6","Rs2,300"
10,Kogai - Fine Japanese Dining,4.5,"16, 16, 12, 2","Rs2,000"
11,Cyber Hub Social,4.5,"26,  7, 13, 15, 10, 15, 18, 6","Rs1,500"
12,"Unlocked - Bar, Kitchen, Escape Room",4.1,"9, 7, 26,  15","Rs2,200"
13,Curry House CoCo Ichibanya,4.6,"16, 28, 12","Rs1,500"
14,Asia Alive - DoubleTree By Hilton,4.2,"26,  2, 31, 2, 7, 8","Rs3,000"
15,Spectra - The Leela Ambience,4.3,"26,  9, 2, 16, 8, 6, 15","Rs6,000"
16,Glasshouse - DoubleTree by Hilton,3.9,"9, 26,  2, 9, 8, 8","Rs3,000"
17,House #309 By Sweet Obsession,4.7,"6, 6, 15, 9, 12, 8","Rs1,600"
18,Spice It - ibis Gurgaon Golf Course Road,3.8,"2, 9, 26,  10, 8, 6","Rs2,500"
19,Clock Tower,4.6,"10, 26,  2, 15, 15, 9, 6","Rs3,000"
20,Rao Hotel,4.1,"26,  10, 10, 7",Rs300
21,Duty Free - Vayu Bar,4,"26,  10, 15, 8, 6","Rs1,800"
22,Molecule Air Bar,4.5,"26,  2, 15, 9","Rs3,400"
23,Oishii Wok,4.6,"2, 7, 16, 16, 18, 31, 6","Rs1,100"
24,RYU Rooftop Bar,4.2,"26,  2, 15, 16, 15, 15, 7, 10","Rs2,000"
25,The Gurgaon Diner,4.4,"26,  7, 9, 1, 15, 6, 6, 8","Rs1,000"
26,Open Tap 29,4.4,"10, 2, 9, 10, 26,  6","Rs2,500"
27,New York Street,4.1,"9, 26,  7, 10","Rs2,100"
28,"Cocktails & Dreams, Speakeasy",4.8,"10, 2, 31, 6","Rs3,000"
29,Poiz,4.5,"26,  9, 15, 7","Rs2,000"
30,Laidback Cafe,4.6,"2, 2, 9, 15, 23, 26,  8, 6","Rs1,900"
31,Under The Neem,4,"26,  12, 15, 15, 15, 8, 6","Rs3,000"
32,You Mee,4.5,"2, 16, 16, 7, 31, 8, 6","Rs2,000"
33,Comorin,4.7,"26,  14, 10, 10, 8, 6","Rs3,000"
34,Zambar,4.5,"30,  28, 14, 8, 6","Rs1,200"
35,Third Wave Coffee,4.4,"6, 6, 6, 6, 10, 10, 8, 15",Rs850
36,Barista Coffee,3.9,"6, 6, 6, 10, 6, 8",Rs500
37,Seasonal Tastes - The Westin Gurgaon,4.2,"26,  2, 2, 1, 8","Rs5,000"
38,Themis Barbeque House,4.1,"26,  15, 25, 12, 8, 6, 3, 2","Rs1,800"
39,The Big Tree Cafe,4.1,"26,  9, 15, 15, 15, 6, 6, 6","Rs1,200"
40,Pukhtaan - Legacy of Padma Shri Chef Imtiaz Qureshi,4.1,"26,  13, 1","Rs1,300"
41,Mala - Akbari,4.5,"26,  30,  28, 8, 6","Rs1,900"
42,Unplugged Courtyard,4.3,"26,  7, 32, 16, 12, 15, 13, 6","Rs2,000"
43,Roesia,4.6,"15, 2, 26,  8","Rs2,200"
44,Decode Air Bar,4.2,"14, 10, 15, 2","Rs1,800"
45,Pizzeria Da Susy,4.1,"15, 12, 6, 6","Rs1,200"
46,Bell Botum Cocktail Bar & Kitchen,4.5,"9, 21, 2, 26","Rs2,000"
47,The Drunken Botanist,4.4,"16, 15, 9, 2, 7, 12, 8","Rs3,000"
48,7 Barrel Brew Pub,4.1,"26,  9, 7, 1, 12, 15, 6","Rs1,900"
49,The Barbeque Company,4,"26,  7, 8","Rs1,600"
50,Mittyesque,4.2,"26,  14, 9, 15, 19, 10, 2, 16","Rs2,400"
51,VietNom,4.7,"2, 2, 12, 8, 6","Rs2,000"
